AH G|jug
AY D|side,stride,applied,plied,upside,upsideeeeeeeee,ride,died,homicide,seaside,aside,outside,cried,inside,collide,hide,confide,pride,suicide,tied,tried,lied,oversimplified,justified,mystified,decide,satisfied,brightside,eastside,tide,countryside,wide,infanticide,genocide,exemplified,denied,pesticide,riverside,dried,glorified,guide
EH Z|says
EH G|beg,leg
IY DH|breathe,seethe
EH JH|edge
EY JH|cage,age,rage,stage
R OW|quatro
EH D|said,head,dead,red,forehead,bed,fed,ahead,instead,shed,spoon-fed,led,cornbread,lead,bread,dopehead,dread,tread,bedspread,drug-head,watershed,flowerhead,bled,fred,underfed,thread,well-fed
HH UW|yodalaheho
IY|valley,me,coochie,sushi,frisky,whiskey,story,tacky,happy,yodalahe,hehe,yummy,party,funny,heavy,steady,lp,taxi,pretty,city,cali,somebody,money,nasty,duty,booty,gucci,see,vd,goody,puddy,dickie,sticky,fanny,granny,pussy,annie,baby,forty,naughty,kdc,seriously,uniquely,three,jersey,thee,fruity,authority,industry,gotti,free,key,posse,be,honey,crazy,g,d,oakley,coyote,linely,homely,tree,easy,meeeee,unity,93,p,vitale,disagree,lsd,pesky,dusty,crusty,body,sea,saturday,memory,melody,navy,billy,seine,history,she,lordy,holly,jolly,flea,virginity,we,lately,dirty,tragicomedy,university,domine,sorry,eternity,reality,family,early,mentally,physically,misery,empty,worry,slowly,mary,lonely,ready,really,hurry,everybody,many,any,weary,maybe,movie,lucky,glory,legacy,antone,quickly,holy,only,sally,alley,ooh-wee,knee,teddy,monday,bee,destiny,plea,tightly,nightly,mercy,enemy,prophecy,debauchery,casualty,democracy,obscurity,lapd,endlessly,nobody,celebrity,agree,pity,buddy,funky,monkey,wannabe,lady,daddy,ice-t,friday,gloomy,harry,conspiracy,tuesday,closely,mississippi,badly,tennessee,shitty,gritty,gypsy,fantasy,tea,eventually,sanity,carelessly,helplessly,rosie,country,lazy,tv,jealousy,gently,sanctuary,loyalty,security,shady,nosy,bloody,contrary,katie,albuquerque,penny,sassy,already,tallahassee,dignity,mystery,me-,patiently,company,safety,agony,stupidity,battery,potency,insanity,energy,flurry,conformity,honesty,wednesday,society,fecundity,infertility,khaki,tommy,army,deeply,lobotomy,mm-baby,b-ba-baby,philosophy,noisy,frenzy,lovely,insecurity,ruby,ninti,tragedy,majesty,courtesy,brutality,activity,therapy,me-e,madly,junkie,putty,study,icky,broccoli,clearly,negativity,grimy,stimey,raspy,angry,guilty,filthy,profanity,horny,morality,blasphemy,purity,ugly,catastrophe,revelry,slightly,sloppy,he,impatiently,ordinary,lily,used-to-be,indeed-ee,z,tardy,lacy,naturally,jewelry,balcony,refugee,remedy,beanery,ability,boogie,mercury,fancy,chile,suddenly,glee,viciously,yippee,emily,hobby,sweetly,emergency,guarantee,carefully,facsimile,v,hungry,vanilli,andy
EY B|babe
IH SH|dish
S K|ask,disc,grotesque,mask
AE|yeah,yeah-yeah,uh-yeah,a-swing~eah-yeah~yeah,ooh~yeah,a-yeah
AH|huh,the,uh,oprah,criteria,buddha,a,dah,cheetah,california,virginia,oklahoma,nevada,aroma,lisa,america,gloria,china,arizona,mama,alabama,papa,wanna,yowsa,idea,val-hala,madonna,nirvana,memoria,pandora,aura,suh,metallica,militia,messiah,ah-ah-ah-da-da,need-a,satisfied-a,anna,pneumonia,sucka,pecka',malaria,umbra,arena,vitae,momma,duh,paramania,kimono,bandana,montana,mamma,aiyah,gonna,magnolia,fella,mona,miranda,uh-huh
AE TH|scrath,path,bath,math
S D|dissed
Z D|surprised,confused,exposed,hypnotized,paralyzed,used,disguised,abused,unrealized,closed,realized,pleased,fused,raised
AO|jigsaw,law,saw,chainsaw,haw,aw,jaw
AH CH|much,touch,clutch,such
DH Z|clothes,mouths,breathes
R TH|forth
AW|now,how,allow,somehow,anyhow,-ow,plough,cow,wow,thou,sow,pow
AY|my,high,k-i-,i,goodbye,sigh,by,fly,pie,try,why,sky,dry,cry,july,eye,thigh,die,lie,lullaby,bye-bye,bye,alibi,justify,good-bye,shy,buy,occupy,guy,deny,multiply,nullify,calcify,eye-to-eye,rectify,tie,fry,fie,rhye
N CH|bunch,bench,cinch,inch,pinch,clinch,flinch,branch,wrench
S T|obsessed,undressed,forest,tourist,first,rehearsed,midwest,hardest,largest,adjust,rust,dust,list,kissed,artist,best,contest,cost,rest,chest,bust,sexist,breakfast,next,fessed,novelist,worst,pissed,twist,protest,waste,test,erased,exist,missed,past,beast,coast,convinced,just,sacrificed,last,resist,fast,lust,lost,frost,thirst,blessed,taste,faced,distrust,passed,possessed,existentialist,christ,post,priest,east,increased,roast,trust,most,against,bounced,blast,infest,fist,brightest,ghost,waist,west,introduced,diagnosed,breast,se,crust,misplaced
EY G|plague,vague
EH CH|stretch
TH S|depths,months,psychopaths,deaths
ER D|word,wandered,heard,cupboard,mattered,altered,shattered,wondered,battered,bird,herd,bastard,self-assured,tired,bluebird,tortured,covered,gathered,standard,wired
AO M|pom
EH SH|flesh,fresh
ER K|jerk,work,clockwork
ER M|worm
ER L|girl,merle,curl
R CH|arch,torch,porch
ER N|learn,burn,return,turn,concern
ER S|worse,universe,purse,disperse,verse,curse
T AH|lo-lo-lo-lolita,artista
R M|form,storm,harm,charm,platform,arm,farm,warm,disarm,alarm
ER T|shirt,pervert,sweatshirt,discomfort,hurt,skirt,desert,dirt
ER V|nerve,serve,deserve,reserve
EY AH|today-a
AW D|loud,cloud,crowd,proud,endowed,allowed,aloud
ER Z|adventures,denchers,suckers,motherfuckers,niggers,struthers,answers,sinners,leaders,letters,rumours,strangers,others,soldiers,elders,wanders,jugglers,ours,numbers,visitors,walkers,swampers,brothers,trousers,flowers,liners,fingers,colors,mirrors,courtiers,sailors,covers,spurs,comers,hours,non-believers,orders,matters,refrigerators,desires,lovers,neighbors,peppers,picutres,speakers,barriers,blisters,waters,tatters,shatters,mothers,losers,preachers,unbelievers,councilors,senators,counselors,riders,prisoners,papers,flavors,pictures,leftovers,fires
AY P|pipe,wipe,stereotype,type
IY TH|teeth
